127.0.0.1, 2021-10-13 15:29:57, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.109878
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.145558
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/images/save_icon.png, HTTP/1.1, 200, 0.001520
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.173319
127.0.0.1, 2021-10-13 15:29:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2021-10-13 15:29:58, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.232853
127.0.0.1, 2021-10-13 15:29:58, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.394429
127.0.0.1, 2021-10-13 15:30:19, POST, /admin/default/edit/myapp/models/db.py, HTTP/1.1, 200, 0.022309
127.0.0.1, 2021-10-13 15:30:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.079430
127.0.0.1, 2021-10-13 15:30:58, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.706013
127.0.0.1, 2021-10-13 15:31:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.071856
127.0.0.1, 2021-10-13 15:31:58, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.662494
127.0.0.1, 2021-10-13 15:32:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070179
127.0.0.1, 2021-10-13 15:32:58, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.738125
127.0.0.1, 2021-10-13 15:33:29, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.027354
127.0.0.1, 2021-10-13 15:33:29, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.003011
127.0.0.1, 2021-10-13 15:33:48, GET, /admin/default/edit/myapp/controllers/appadmin.py, HTTP/1.1, 200, 0.027577
127.0.0.1, 2021-10-13 15:33:48, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.003204
127.0.0.1, 2021-10-13 15:33:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.092181
127.0.0.1, 2021-10-13 15:33:58, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.723993
127.0.0.1, 2021-10-13 15:34:20, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.025601
127.0.0.1, 2021-10-13 15:34:20, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.004777
127.0.0.1, 2021-10-13 15:34:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.105175
127.0.0.1, 2021-10-13 15:34:58, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.720942
127.0.0.1, 2021-10-13 15:35:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.112398
127.0.0.1, 2021-10-13 15:35:58, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.698227
127.0.0.1, 2021-10-13 15:36:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.127818
127.0.0.1, 2021-10-13 15:36:58, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.752708
127.0.0.1, 2021-10-13 15:37:01, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.073205
127.0.0.1, 2021-10-13 15:37:15, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.075394
127.0.0.1, 2021-10-13 15:37:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000330
127.0.0.1, 2021-10-13 15:37:28, GET, /myapp/appadmin/d3_graph_model, HTTP/1.1, 200, 0.167044
127.0.0.1, 2021-10-13 15:37:28, GET, /myapp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003891
127.0.0.1, 2021-10-13 15:37:28, GET, /myapp/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.007765
127.0.0.1, 2021-10-13 15:37:28, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.016175
127.0.0.1, 2021-10-13 15:37:28, GET, /myapp/static/js/jquery.js, HTTP/1.1, 200, 0.007619
127.0.0.1, 2021-10-13 15:37:28, GET, /myapp/static/css/calendar.css, HTTP/1.1, 200, 0.006294
127.0.0.1, 2021-10-13 15:37:28, GET, /myapp/static/js/calendar.js, HTTP/1.1, 200, 0.006211
127.0.0.1, 2021-10-13 15:37:28, GET, /myapp/static/js/web2py.js, HTTP/1.1, 200, 0.003269
127.0.0.1, 2021-10-13 15:37:28, GET, /admin/static/css/d3_graph.css, HTTP/1.1, 200, 0.015859
127.0.0.1, 2021-10-13 15:37:28, GET, /myapp/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001742
127.0.0.1, 2021-10-13 15:37:28, GET, /myapp/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002546
127.0.0.1, 2021-10-13 15:37:28, GET, /admin/static/js/d3_graph.js, HTTP/1.1, 200, 0.016051
127.0.0.1, 2021-10-13 15:37:28, GET, /admin/static/js/d3.min.js, HTTP/1.1, 200, 0.097621
127.0.0.1, 2021-10-13 15:37:28, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.005085
